img,output,timestamp
.gradio\flagged\img\cfa5f7c9bb7e5e40ce64\paper_003.jpg,Predicted: paper (Confidence: 0.99),2025-06-27 00:59:05.456786
,Predicted: cardboard (Confidence: 0.39),2025-06-27 01:10:35.960988
